,beta,d,d_i,a_c,a_i,p_A,p_B,c1,c2,f_cA,f_cB,f_clast,f_isA,f_iaA,r,ts,s_1,s_2,p_c,f_ib_last,cycl_period,alt_cycl_period,cycling,rdt,pS0,pCs0,pCa0,pCb0,pIs0,pIa0,pIb0,N,t
79,0.111,9,0.86,0.05,0.002,0.399,0.08,1,1,0.1,0.1,0.03,0.5,0.5,6,5,0.001,0.001,0.01,0,0,0,0,0,0.95,0.05,0,0,0,0,0,60,5475
80,0.111,9,0.86,0.05,0.002,0.399,0.08,1,1,0.1,0.1,0.03,0.5,0.5,6,10,0.001,0.001,0.01,0,0,0,0,0,0.95,0.05,0,0,0,0,0,60,5475
81,0.111,9,0.86,0.05,0.002,0.399,0.08,1,1,0.1,0.1,0.03,0.5,0.5,6,3,0,0.001,0.01,0,0,0,0,0,0.95,0.05,0,0,0,0,0,60,5475
82,0.111,9,0.86,0.05,0.002,0.399,0.08,1,1,0.1,0.1,0.03,0.5,0.5,6,3,0.001,0.001,0.01,0,0,0,0,0,0.95,0.05,0,0,0,0,0,60,5475
83,0.111,9,0.86,0.05,0.002,0.399,0.08,1,1,0.1,0.1,0.03,0.5,0.5,6,3,0.01,0.001,0.01,0,0,0,0,0,0.95,0.05,0,0,0,0,0,60,5475
84,0.111,9,0.86,0.05,0.002,0.399,0.08,1,1,0.1,0.1,0.03,0.5,0.5,6,3,0.1,0.001,0.01,0,0,0,0,0,0.95,0.05,0,0,0,0,0,60,5475
85,0.111,9,0.86,0.05,0.002,0.399,0.08,1,1,0.1,0.1,0.03,0.5,0.5,6,3,0.2,0.001,0.01,0,0,0,0,0,0.95,0.05,0,0,0,0,0,60,5475
86,0.111,9,0.86,0.05,0.002,0.399,0.08,1,1,0.1,0.1,0.03,0.5,0.5,6,3,0.001,0,0.01,0,0,0,0,0,0.95,0.05,0,0,0,0,0,60,5475
87,0.111,9,0.86,0.05,0.002,0.399,0.08,1,1,0.1,0.1,0.03,0.5,0.5,6,3,0.001,0.001,0.01,0,0,0,0,0,0.95,0.05,0,0,0,0,0,60,5475
88,0.111,9,0.86,0.05,0.002,0.399,0.08,1,1,0.1,0.1,0.03,0.5,0.5,6,3,0.001,0.01,0.01,0,0,0,0,0,0.95,0.05,0,0,0,0,0,60,5475
89,0.111,9,0.86,0.05,0.002,0.399,0.08,1,1,0.1,0.1,0.03,0.5,0.5,6,3,0.001,0.1,0.01,0,0,0,0,0,0.95,0.05,0,0,0,0,0,60,5475
90,0.111,9,0.86,0.05,0.002,0.399,0.08,1,1,0.1,0.1,0.03,0.5,0.5,6,3,0.001,0.2,0.01,0,0,0,0,0,0.95,0.05,0,0,0,0,0,60,5475
91,0.111,9,0.86,0.05,0.002,0.399,0.08,1,1,0.1,0.1,0.03,0.5,0.5,6,3,0.001,0.001,0,0,0,0,0,0,0.95,0.05,0,0,0,0,0,60,5475
92,0.111,9,0.86,0.05,0.002,0.399,0.08,1,1,0.1,0.1,0.03,0.5,0.5,6,3,0.001,0.001,0.01,0,0,0,0,0,0.95,0.05,0,0,0,0,0,60,5475
93,0.111,9,0.86,0.05,0.002,0.399,0.08,1,1,0.1,0.1,0.03,0.5,0.5,6,3,0.001,0.001,0.03,0,0,0,0,0,0.95,0.05,0,0,0,0,0,60,5475
94,0.111,9,0.86,0.05,0.002,0.399,0.08,1,1,0.1,0.1,0.03,0.5,0.5,6,3,0.001,0.001,0.05,0,0,0,0,0,0.95,0.05,0,0,0,0,0,60,5475
95,0.111,9,0.86,0.05,0.002,0.399,0.08,1,1,0.1,0.1,0.03,0.5,0.5,6,3,0.001,0.001,0.07,0,0,0,0,0,0.95,0.05,0,0,0,0,0,60,5475
